english,chinese,phonetic
abandon,放弃;抛弃,/əˈbændən/
ability,能力;才能,/əˈbɪlɪti/
abstract,抽象的;摘要,/ˈæbstrækt/
achieve,达到;实现,/əˈtʃiːv/
adapt,适应;改编,/əˈdæpt/
adequate,充足的;适当的,/ˈædɪkwət/
barrier,障碍;屏障,/ˈbæriər/
benefit,利益;好处,/ˈbenɪfɪt/
brilliant,辉煌的;杰出的,/ˈbrɪljənt/
capable,有能力的,/ˈkeɪpəbl/
challenge,挑战,/ˈtʃælɪndʒ/
circumstance,环境;情况,/ˈsɜːrkəmstæns/
community,社区;团体,/kəˈmjuːnəti/
crucial,关键的;决定性的,/ˈkruːʃl/
demonstrate,证明;演示,/ˈdemənstreɪt/
enhance,增强;提高,/ɪnˈhæns/
essential,本质的;必要的,/ɪˈsenʃl/
evaluate,评估;评价,/ɪˈvæljueɪt/
frustrate,挫败;使沮丧,/frʌˈstreɪt/
genuine,真正的;真诚的,/ˈdʒenjuɪn/
hesitate,犹豫;踌躇,/ˈhezɪteɪt/
implement,实施;执行,/ˈɪmplɪment/
inevitable,不可避免的,/ɪnˈevɪtəbl/
maintain,维持;保养,/meɪnˈteɪn/
negotiate,谈判;协商,/nɪˈɡoʊʃieɪt/
obvious,明显的;显然的,/ˈɑːbviəs/
potential,潜在的;潜力,/pəˈtenʃl/
relevant,相关的;切题的,/ˈreləvənt/
sufficient,充足的;足够的,/səˈfɪʃnt/
volunteer,志愿者;自愿,/ˌvɑːlənˈtɪr/
